꽋	U+AF4B
꽌	U+AF4C
꽍	U+AF4D
꽎	U+AF4E
꽏	U+AF4F
꽐	U+AF50
꽑	U+AF51
꽒	U+AF52
꽓	U+AF53
꽔	U+AF54
꽕	U+AF55
꽖	U+AF56
꽗	U+AF57
꽘	U+AF58
꽙	U+AF59
꽚	U+AF5A
꽛	U+AF5B
꽜	U+AF5C
꽝	U+AF5D
꽞	U+AF5E
꽟	U+AF5F
꽠	U+AF60
꽡	U+AF61
꽢	U+AF62
꽣	U+AF63
꽤	U+AF64
꽥	U+AF65
꽦	U+AF66
꽧	U+AF67
꽨	U+AF68
꽩	U+AF69
꽪	U+AF6A
꽫	U+AF6B
꽬	U+AF6C
꽭	U+AF6D
꽮	U+AF6E
꽯	U+AF6F
꽰	U+AF70
꽱	U+AF71
꽲	U+AF72
꽳	U+AF73
꽴	U+AF74
꽵	U+AF75
꽶	U+AF76
꽷	U+AF77
꽸	U+AF78
꽹	U+AF79
꽺	U+AF7A
꽻	U+AF7B
꽼	U+AF7C
꽽	U+AF7D
꽾	U+AF7E
꽿	U+AF7F
꾀	U+AF80
꾁	U+AF81
꾂	U+AF82
꾃	U+AF83
꾄	U+AF84
꾅	U+AF85
꾆	U+AF86
꾇	U+AF87
꾈	U+AF88
꾉	U+AF89
꾊	U+AF8A
꾋	U+AF8B
꾌	U+AF8C
꾍	U+AF8D
꾎	U+AF8E
꾏	U+AF8F
꾐	U+AF90
꾑	U+AF91
꾒	U+AF92
꾓	U+AF93
꾔	U+AF94
꾕	U+AF95
꾖	U+AF96
꾗	U+AF97
꾘	U+AF98
꾙	U+AF99
꾚	U+AF9A
꾛	U+AF9B
꾜	U+AF9C
꾝	U+AF9D
꾞	U+AF9E
꾟	U+AF9F
꾠	U+AFA0
꾡	U+AFA1
꾢	U+AFA2
꾣	U+AFA3
꾤	U+AFA4
꾥	U+AFA5
꾦	U+AFA6
꾧	U+AFA7
꾨	U+AFA8
꾩	U+AFA9
꾪	U+AFAA
꾫	U+AFAB
꾬	U+AFAC
꾭	U+AFAD
꾮	U+AFAE
꾯	U+AFAF
꾰	U+AFB0
꾱	U+AFB1
꾲	U+AFB2
꾳	U+AFB3
꾴	U+AFB4
꾵	U+AFB5
꾶	U+AFB6
꾷	U+AFB7
꾸	U+AFB8
꾹	U+AFB9
꾺	U+AFBA
꾻	U+AFBB
꾼	U+AFBC
꾽	U+AFBD
꾾	U+AFBE
꾿	U+AFBF
꿀	U+AFC0
꿁	U+AFC1
꿂	U+AFC2
꿃	U+AFC3
꿄	U+AFC4
꿅	U+AFC5
꿆	U+AFC6
꿇	U+AFC7
꿈	U+AFC8
꿉	U+AFC9
꿊	U+AFCA
꿋	U+AFCB
꿌	U+AFCC
꿍	U+AFCD
꿎	U+AFCE
꿏	U+AFCF
꿐	U+AFD0
꿑	U+AFD1
꿒	U+AFD2
꿓	U+AFD3
꿔	U+AFD4
꿕	U+AFD5
꿖	U+AFD6
꿗	U+AFD7
꿘	U+AFD8
꿙	U+AFD9
꿚	U+AFDA
꿛	U+AFDB
꿜	U+AFDC
꿝	U+AFDD
꿞	U+AFDE
꿟	U+AFDF
꿠	U+AFE0
꿡	U+AFE1
꿢	U+AFE2
꿣	U+AFE3
꿤	U+AFE4
꿥	U+AFE5
꿦	U+AFE6
꿧	U+AFE7
꿨	U+AFE8
꿩	U+AFE9
꿪	U+AFEA
꿫	U+AFEB
꿬	U+AFEC
꿭	U+AFED
꿮	U+AFEE
꿯	U+AFEF
꿰	U+AFF0
꿱	U+AFF1
꿲	U+AFF2
