,WORD,POS_TAG,COUNT,COUNT_ADJUST,LOG10
305,길,NNG,8441,35566.65423728814,4.551043012933164
306,무슨,MMD,8305,34993.61016949153,4.543988749450895
307,잡,VV,8266,34829.2813559322,4.541944513609171
308,아주,MAG,8243,34732.369491525424,4.5407344125071845
309,아니,IC,8243,34732.369491525424,4.5407344125071845
310,일단,MAG,8220,34635.457627118645,4.539520930203532
311,열심히,MAG,8165,34403.71186440678,4.536605301736169
312,가지,NNB,8145,34319.4406779661,4.5355402013080095
313,일본,NNP,8086,34070.8406779661,4.532382849661137
314,어리,VA,8070,34003.423728813555,4.531522647385552
315,인제,MAG,8060,33961.28813559322,4.530984154468572
316,말하,VV,8035,33855.94915254237,4.529634993762845
317,제,NP,8034,33851.735593220335,4.529580940059135
318,요새,NNG,8032,33843.30847457627,4.529472812464426
319,나중,NNG,8024,33809.6,4.5290400326758435
320,신경,NNG,7981,33628.41694915254,4.526706423471948
321,중요하,VA,7970,33582.06779661017,4.526107434059594
322,하,XSV,7958,33531.50508474576,4.525453047473851
323,여기,NP,7943,33468.30169491525,4.524633675212873
324,이,NR,7939,33451.44745762712,4.524414914607868
325,살,NNG,7902,33295.54576271187,4.522386138008909
326,었었,EP,7859,33114.36271186441,4.520016401436844
327,가,VX,7823,32962.67457627119,4.518022442909507
328,니,EC,7815,32928.96610169492,4.5175780950186875
329,아야지,EF,7814,32924.75254237288,4.517522519552247
330,일,NNB,7814,32924.75254237288,4.517522519552247
331,배우,VV,7761,32701.433898305084,4.514566796099688
332,결혼,NNG,7716,32511.82372881356,4.512041331635329
333,마다,JX,7699,32440.193220338984,4.51108343229242
334,맛,NNG,7682,32368.562711864408,4.5101234154926395
335,거의,MAG,7674,32334.854237288135,4.50967090752578
336,둘,NR,7632,32157.884745762713,4.50728747435952
337,다이어트,NNG,7585,31959.84745762712,4.504604697786231
338,저기,IC,7507,31631.189830508476,4.500115528529867
339,어렵,VA,7491,31563.772881355933,4.499188909734492
340,얼마나,MAG,7482,31525.850847457627,4.498666816525668
341,어,IC,7455,31412.084745762713,4.497096760452495
342,딸,NNG,7406,31205.62033898305,4.494232820376905
343,나,EC,7405,31201.406779661018,4.494174175520709
344,빠지,VV,7321,30847.46779661017,4.4892195195169124
345,는지,EF,7314,30817.97288135593,4.488804068665507
346,쉬,VV,7266,30615.722033898306,4.485944506190178
347,자,VV,7237,30493.528813559322,4.484207685289535
348,ㄴ지,EF,7169,30207.006779661016,4.480107693049518
349,위하,VV,7072,29798.291525423727,4.474191364668498
350,병원,NNG,7025,29600.254237288136,4.471295441240599
351,얼마,NNG,7007,29524.410169491526,4.470181230157057
352,물,NNG,6999,29490.701694915253,4.469685106176897
353,빼,VV,6987,29440.13898305085,4.468939855917825
354,애,EF,6959,29322.1593220339,4.467195949158497
355,버리,VX,6956,29309.518644067797,4.4670086859941565
356,가족,NNG,6954,29301.09152542373,4.466883799010722
357,건강하,VA,6916,29140.97627118644,4.464504097265367
358,재밌,VA,6911,29119.90847457627,4.46419000563245
359,시,NNB,6891,29035.637288135593,4.46293136257817
360,물론,MAG,6879,28985.074576271185,4.462174422113083
361,아빠,NNG,6873,28959.793220338983,4.461795456572542
362,걱정,NNG,6837,28808.105084745763,4.45951469256352
363,팔,VV,6812,28702.766101694913,4.457923751954045
364,나,JX,6768,28517.369491525424,4.455109462694449
365,남,VV,6753,28454.166101694915,4.4541458623836645
366,당신,NP,6699,28226.633898305085,4.450659090454582
367,조금,NNG,6663,28074.945762711865,4.448318925931618
368,오,NR,6655,28041.23728813559,4.447797172474176
369,하루,NNG,6641,27982.24745762712,4.446882592902326
370,사실,MAG,6636,27961.179661016948,4.446555490015805
371,자,EF,6621,27897.97627118644,4.445572700544799
372,챙기,VV,6560,27640.949152542373,4.441552952039142
373,어느,MMD,6559,27636.73559322034,4.441486743565517
374,자꾸,MAG,6549,27594.6,4.440824103092283
375,이야기,NNG,6518,27463.97966101695,4.438763468792607
376,아무래도,MAG,6516,27455.55254237288,4.438630188299953
377,그럼,MAJ,6497,27375.494915254236,4.43736197942885
378,예전,NNG,6489,27341.786440677966,4.436826886822236
379,냐,EF,6415,27029.98305084746,4.431845773374429
380,밖에,JX,6383,26895.149152542373,4.429673957093287
381,명,NNB,6338,26705.538983050847,4.426601347517764
382,찍,VV,6304,26562.277966101694,4.424265317144981
383,쉽,VA,6246,26317.89152542373,4.4202510925576615
384,찌,VV,6205,26145.13559322034,4.417390898498231
385,자고,EC,6197,26111.427118644067,4.416830608813161
386,찾,VV,6194,26098.786440677966,4.41662031368425
387,휴일,NNG,6103,25715.352542372882,4.410192482620075
388,개,NNB,6016,25348.772881355933,4.403956940247068
389,약,NNG,5920,24944.271186440677,4.396970819386402
390,생활,NNG,5902,24868.427118644067,4.395648317827423
391,편하,VA,5831,24569.26440677966,4.390392154084526
392,저녁,NNG,5795,24417.57627118644,4.387702552963097
393,눈,NNG,5794,24413.362711864407,4.387627603531225
394,키우,VV,5786,24379.654237288134,4.387027541975446
395,적,NNB,5741,24190.04406779661,4.383636659531101
396,아야지,EC,5705,24038.35593220339,4.380904761417715
397,싫,VA,5682,23941.44406779661,4.379150342050399
398,라도,JX,5661,23852.959322033897,4.377542267548075
399,시키,VV,5652,23815.037288135594,4.376851265840003
400,보통,MAG,5598,23587.505084745764,4.372682006793625
401,이랑,JKB,5591,23558.010169491525,4.372138604922155
402,술,NNG,5577,23499.02033898305,4.371049757155043
403,옆,NNG,5563,23440.030508474578,4.36995817260431
404,편,NNB,5560,23427.389830508473,4.369723904245539
405,거나,EC,5543,23355.759322033897,4.368393991255943
406,떨어지,VV,5513,23229.352542372882,4.366037105142751
407,자식,NNG,5485,23111.372881355932,4.3638257445742115
408,여름,NNG,5469,23043.95593220339,4.362557036038121
409,방법,NNG,5455,22984.966101694914,4.361443867587843
410,그,VA,5440,22921.762711864405,4.360248012361661
411,이제,NNG,5425,22858.5593220339,4.3590488551840485
412,그쪽,NP,5395,22732.15254237288,4.356640561682411
413,아파트,NNG,5378,22660.522033898305,4.355269910550764
414,물어보,VV,5372,22635.240677966103,4.354785116660159
415,운전,NNG,5341,22504.62033898305,4.352271690632619
416,예쁘,VA,5328,22449.84406779661,4.351213328825726
417,누구,NP,5295,22310.79661016949,4.348515077106986
418,여자,NNG,5290,22289.728813559323,4.348104784698667
419,학교,NNG,5288,22281.301694915255,4.347940559141065
420,들어오,VV,5279,22243.37966101695,4.34720077466444
421,대로,JX,5256,22146.46779661017,4.345304469215206
422,게임,NNG,5221,21998.993220338984,4.3424028058741975
423,ㄴ지,EC,5206,21935.789830508475,4.341153276436699
424,ㄹ로,JKB,5197,21897.867796610168,4.340401829486341
425,없이,MAG,5196,21893.654237288134,4.340318255064472
426,속,NNG,5188,21859.945762711865,4.3396490800755245
427,자주,MAG,5172,21792.528813559322,4.3383076288718385
428,걸리,VV,5142,21666.122033898304,4.335781184970323
429,비싸,VA,5136,21640.8406779661,4.335274127724278
430,터,NNB,5130,21615.5593220339,4.334766477775298
431,약간,MAG,5122,21581.850847457627,4.3340886867958925
432,벌,VV,5111,21535.501694915252,4.333154993618718
433,아마,MAG,5102,21497.57966101695,4.332389566937253
434,보험,NNG,5100,21489.15254237288,4.332219288761418
435,대,NNB,5092,21455.44406779661,4.331537507645099
436,세,MMN,5071,21366.959322033897,4.329742723211355
437,끼리,XSN,5037,21223.698305084745,4.326821063521193
438,내용,NNG,5034,21211.057627118644,4.326562323875826
439,남편,NNG,5031,21198.416949152543,4.32630342998923
440,낫,VA,5030,21194.20338983051,4.326217097719409
441,네,NP,4949,20852.905084745762,4.319166566474638
442,배,NNG,4941,20819.196610169492,4.3184639665528985
443,나라,NNG,4937,20802.342372881354,4.318112239883013
444,백,NR,4928,20764.42033898305,4.317319811819851
445,과,JKB,4913,20701.216949152542,4.315995876798303
446,혼자,NNG,4897,20633.8,4.314579216681699
447,달,NNB,4889,20600.09152542373,4.313869149927317
448,동안,NNG,4877,20549.528813559322,4.312801868255048
449,필요하,VA,4869,20515.820338983052,4.312088887209376
450,못하,VX,4862,20486.325423728813,4.311464067170799
451,소리,NNG,4854,20452.616949152543,4.3107488846593975
452,빨리,MAG,4850,20435.762711864405,4.310390851265745
453,결혼하,VV,4840,20393.627118644068,4.309494474307894
454,얘,NP,4829,20347.277966101694,4.308506318063828
455,경제,NNG,4786,20166.094915254238,4.3046218069409
456,말,VV,4782,20149.240677966103,4.304258684443238
457,맞추,VV,4754,20031.261016949153,4.301708290055643
458,따르,VV,4751,20018.62033898305,4.3014341430826875
459,느낌,NNG,4739,19968.057627118644,4.300335821362883
460,래,EF,4725,19909.06779661017,4.299050925508763
461,마시,VV,4722,19896.427118644067,4.29877509540619
462,이상,NNG,4721,19892.213559322034,4.298683113094737
463,으면서,EC,4721,19892.213559322034,4.298683113094737
464,고기,NNG,4721,19892.213559322034,4.298683113094737
465,냐고,EC,4701,19807.942372881356,4.296839363851734
466,시간,NNB,4701,19807.942372881356,4.296839363851734
467,넘,VV,4698,19795.301694915255,4.296562125105069
468,자체,NNG,4680,19719.457627118645,4.294894965737606
469,안되,VV,4661,19639.4,4.2931282155960675
470,랑,JC,4616,19449.789830508475,4.2889149128111566
471,서울,NNP,4612,19432.93559322034,4.288538411286143
472,관리,NNG,4604,19399.227118644067,4.287784427621236
473,에게,JKB,4584,19314.95593220339,4.2858937216228155
474,관심,NNG,4584,19314.95593220339,4.2858937216228155
475,안,NNG,4577,19285.461016949153,4.285230025090781
476,이십,NR,4572,19264.39322033898,4.284755334386726
477,시대,NNG,4561,19218.04406779661,4.28370918490442
478,끝나,VV,4558,19205.40338983051,4.2834234335078385
479,식,NNB,4558,19205.40338983051,4.2834234335078385
480,덥,VA,4557,19201.189830508476,4.2833281412459305
481,서로,MAG,4541,19133.772881355933,4.281800614564449
482,죽,VV,4527,19074.783050847458,4.280459607158734
483,식구,NNG,4509,18998.938983050848,4.278729347970052
484,바로,MAG,4487,18906.240677966103,4.2766051821965565
485,줄,NNB,4474,18851.46440677966,4.275345092424093
486,작,VA,4469,18830.39661016949,4.274859467323841
487,자연,NNG,4459,18788.261016949153,4.273886585013089
488,공부,NNG,4427,18653.427118644067,4.27075863464233
489,는지,EC,4395,18518.593220338982,4.267607992073272
490,주말,NNG,4377,18442.749152542372,4.2658256592765955
491,회사,NNG,4362,18379.545762711863,4.264334773906163
492,모든,MMN,4324,18219.430508474576,4.2605347979447545
493,운동하,VV,4307,18147.8,4.258823984426082
494,김치,NNG,4305,18139.372881355932,4.258622268453156
495,이나,JX,4292,18084.59661016949,4.257308825957395
496,지나,VV,4281,18038.24745762712,4.2561943404977916
497,가끔,MAG,4276,18017.179661016948,4.255686809200222
498,뒤,NNG,4269,17987.684745762712,4.254975267467429
499,남자,NNG,4265,17970.830508474577,4.2545681481670234
500,던데,EC,4258,17941.335593220338,4.253854769765786
501,티비,NNG,4254,17924.481355932203,4.253446598230192
